brake,tratio,ratio
0.000343915,0.972936508,0.048677249
0.010387597,0.391162791,0.188294574
0.003838384,0.691414141,0.160353535
0.009673913,0.374927536,0.173115942
0.000641026,0.942393162,0.062521368
0.006212121,0.401401515,0.159924242
0.006195652,0.36307971,0.189384058
0.006296296,0.378777778,0.186888889
0.006098039,0.365901961,0.204
0.005728155,0.391893204,0.16815534
0.00604811,0.354175258,0.18790378
0.002139918,0.758004115,0.095617284
0.00581761,0.404119497,0.188144654
0,1,0.040284553
0.005801887,0.398191824,0.185974843
0,1,0.035484848
0.000992063,0.932361111,0.086468254
0.006333333,0.370614035,0.200245614
0.006865942,0.406177536,0.180126812
0,1,0.030116279
0.005409357,0.386447368,0.194853801
1.85E-05,0.999944444,0.042425926
0.005689103,0.409294872,0.210657051
0.002171053,0.710570175,0.150482456
0.000333333,0.962678571,0.039428571
0.00025,0.96447619,0.048452381
0.028602151,0.525698925,0.207055556
0.011028369,0.355567376,0.190319149
0.010729167,0.371145833,0.215972222
0.010496454,0.34822695,0.194361702
0.009727891,0.376496599,0.207823129
0.000492958,0.964859155,0.039835681
0.00996732,0.370261438,0.22630719
0.004423077,0.661602564,0.156923077
0.00718254,0.366964286,0.22702381
4.76E-05,0.999952381,0.03752381
0.00655914,0.405340502,0.212706093
0.006066667,0.361616667,0.2016
0.006066667,0.372616667,0.226166667
0.003198925,0.636048387,0.156129032
0.0069,0.361766667,0.237133333
0,0,0
0.006481481,0.349691358,0.233472222
0.000384615,0.952389277,0.056282051
0.00608631,0.342440476,0.255386905
0.006541219,0.387777778,0.183548387
0.00652381,0.364571429,0.201
0.003024691,0.627407407,0.155617284
0.006428571,0.37415873,0.237349206
0.000387597,0.968953488,0.05503876
0.006734694,0.374642857,0.226802721
5.05E-05,0.99989899,0.035757576
0.00617284,0.358873457,0.24595679
0.001785714,0.891428571,0.14297619
0,1,0.172222222
5.85E-05,0.999912281,0.064210526
9.80E-05,0.999901961,0.042598039
