time,CTPCBC_制动_空压机组1运行,CTPCBC_制动_空压机组2运行,BC1CT_制动_A1车B1架制动施加
2020-07-16 21:02:27.158,0.0,0.0,1.0
2020-07-16 21:02:27.745,0.0,0.0,1.0
2020-07-16 21:02:27.906,0.0,0.0,1.0
2020-07-16 21:02:28.526,0.0,0.0,1.0
2020-07-16 21:02:28.674,0.0,0.0,1.0
2020-07-16 21:02:29.248,0.0,0.0,1.0
2020-07-16 21:02:29.389,0.0,0.0,1.0
2020-07-16 21:02:29.996,0.0,0.0,1.0
2020-07-16 21:02:30.144,0.0,0.0,1.0
2020-07-16 21:02:30.720,0.0,0.0,1.0
2020-07-16 21:02:30.908,0.0,0.0,1.0
2020-07-16 21:02:31.488,0.0,0.0,1.0
2020-07-16 21:02:31.653,0.0,0.0,1.0
2020-07-16 21:02:32.260,0.0,0.0,1.0
2020-07-16 21:02:32.418,0.0,0.0,1.0
2020-07-16 21:02:32.996,0.0,0.0,1.0
2020-07-16 21:02:33.173,0.0,0.0,1.0
2020-07-16 21:02:33.734,0.0,0.0,1.0
2020-07-16 21:02:33.944,0.0,0.0,1.0
2020-07-16 21:02:34.487,0.0,0.0,1.0
2020-07-16 21:02:34.656,0.0,0.0,1.0
2020-07-16 21:02:35.258,0.0,0.0,1.0
2020-07-16 21:02:35.412,0.0,0.0,1.0
2020-07-16 21:02:35.988,0.0,0.0,1.0
2020-07-16 21:02:36.157,0.0,0.0,1.0
2020-07-16 21:02:36.748,0.0,0.0,1.0
2020-07-16 21:02:36.921,0.0,0.0,1.0
2020-07-16 21:02:37.509,0.0,0.0,1.0
2020-07-16 21:02:37.667,0.0,0.0,1.0
2020-07-16 21:02:38.258,0.0,0.0,1.0
2020-07-16 21:02:38.423,0.0,0.0,1.0
2020-07-16 21:02:39.017,0.0,0.0,1.0
2020-07-16 21:02:39.169,0.0,0.0,1.0
2020-07-16 21:02:39.747,0.0,0.0,1.0
2020-07-16 21:02:39.935,0.0,0.0,1.0
2020-07-16 21:02:40.486,0.0,0.0,1.0
2020-07-16 21:02:40.650,0.0,0.0,1.0
2020-07-16 21:02:41.234,0.0,0.0,1.0
2020-07-16 21:02:41.426,0.0,0.0,1.0
2020-07-16 21:02:42.003,0.0,0.0,1.0
2020-07-16 21:02:42.163,0.0,0.0,1.0
2020-07-16 21:02:42.767,0.0,0.0,1.0
2020-07-16 21:02:42.939,0.0,0.0,1.0
2020-07-16 21:02:43.494,0.0,0.0,1.0
2020-07-16 21:02:43.645,0.0,0.0,1.0
2020-07-16 21:02:44.246,0.0,0.0,1.0
2020-07-16 21:02:44.412,0.0,0.0,1.0
2020-07-16 21:02:44.996,0.0,0.0,1.0
2020-07-16 21:02:45.162,0.0,0.0,1.0
2020-07-16 21:02:45.738,0.0,0.0,1.0
2020-07-16 21:02:45.890,0.0,0.0,1.0
2020-07-16 21:02:46.482,0.0,0.0,1.0
2020-07-16 21:02:46.638,0.0,0.0,1.0
2020-07-16 21:02:47.227,0.0,0.0,1.0
2020-07-16 21:02:47.412,0.0,0.0,1.0
2020-07-16 21:02:47.982,0.0,0.0,1.0
2020-07-16 21:02:48.141,0.0,0.0,1.0
2020-07-16 21:02:48.748,0.0,0.0,1.0
2020-07-16 21:02:48.905,0.0,0.0,1.0
2020-07-16 21:02:49.492,0.0,0.0,1.0
2020-07-16 21:02:49.658,0.0,0.0,1.0
2020-07-16 21:02:50.247,0.0,0.0,1.0
2020-07-16 21:02:50.416,0.0,0.0,1.0
2020-07-16 21:02:51.002,0.0,0.0,1.0
